0%	0
1%	1
2%	2
3%	2
4%	3
5%	4
6%	5
7%	5
8%	6
9%	7
10%	8
11%	8
12%	9
13%	10
14%	11
15%	11
16%	12
17%	13
18%	14
19%	14
20%	15
21%	16
22%	16
23%	17
24%	18
25%	18
26%	19
27%	20
28%	20
29%	21
30%	21
31%	22
32%	23
33%	23
34%	24
35%	25
36%	26
37%	26
38%	27
39%	28
40%	29
41%	29
42%	30
43%	31
44%	32
45%	33
46%	33
47%	33
48%	34
49%	34
50%	34
51%	34
52%	35
53%	35
54%	35
55%	36
56%	36
57%	36
58%	36
59%	37
60%	37
61%	37
62%	38
63%	38
64%	38
65%	39
66%	39
67%	40
68%	40
69%	41
70%	41
71%	42
72%	42
73%	43
74%	43
75%	44
76%	45
77%	46
78%	47
79%	48
80%	49
81%	51
82%	53
83%	56
84%	59
85%	61
86%	65
87%	69
88%	73
89%	78
90%	83
91%	90
92%	97
93%	106
94%	117
95%	131
96%	149
97%	174
98%	212
99%	287
100%	5325
