0%	0
1%	1
2%	2
3%	2
4%	3
5%	3
6%	4
7%	5
8%	6
9%	6
10%	7
11%	8
12%	9
13%	9
14%	10
15%	11
16%	12
17%	12
18%	13
19%	14
20%	15
21%	15
22%	16
23%	17
24%	17
25%	18
26%	19
27%	20
28%	20
29%	21
30%	21
31%	22
32%	22
33%	23
34%	24
35%	25
36%	25
37%	26
38%	27
39%	28
40%	29
41%	29
42%	30
43%	31
44%	32
45%	33
46%	33
47%	33
48%	34
49%	34
50%	34
51%	35
52%	35
53%	35
54%	35
55%	36
56%	36
57%	36
58%	37
59%	37
60%	37
61%	38
62%	38
63%	39
64%	39
65%	40
66%	40
67%	41
68%	41
69%	42
70%	42
71%	43
72%	43
73%	44
74%	45
75%	46
76%	47
77%	48
78%	49
79%	51
80%	53
81%	56
82%	58
83%	61
84%	64
85%	68
86%	72
87%	76
88%	81
89%	87
90%	93
91%	101
92%	109
93%	120
94%	133
95%	149
96%	170
97%	199
98%	244
99%	333
100%	5325
