0%	0
1%	0
2%	0
3%	0
4%	3
5%	3
6%	3
7%	6
8%	6
9%	6
10%	6
11%	9
12%	9
13%	9
14%	12
15%	12
16%	12
17%	15
18%	15
19%	15
20%	18
21%	18
22%	18
23%	21
24%	21
25%	21
26%	24
27%	24
28%	27
29%	27
30%	27
31%	30
32%	30
33%	33
34%	33
35%	36
36%	36
37%	39
38%	39
39%	42
40%	42
41%	45
42%	45
43%	48
44%	51
45%	51
46%	54
47%	56
48%	57
49%	60
50%	60
51%	60
52%	63
53%	66
54%	72
55%	72
56%	75
57%	78
58%	81
59%	83
60%	88
61%	90
62%	93
63%	99
64%	99
65%	99
66%	99
67%	99
68%	99
69%	99
70%	99
71%	99
72%	99
73%	99
74%	99
75%	99
76%	99
77%	99
78%	99
79%	99
80%	99
81%	99
82%	99
83%	99
84%	99
85%	99
86%	99
87%	99
88%	99
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
