0%	0
1%	3
2%	5
3%	6
4%	7
5%	7
6%	8
7%	9
8%	9
9%	10
10%	10
11%	11
12%	12
13%	12
14%	13
15%	13
16%	14
17%	14
18%	15
19%	15
20%	16
21%	16
22%	17
23%	18
24%	18
25%	19
26%	19
27%	20
28%	20
29%	21
30%	21
31%	22
32%	22
33%	23
34%	24
35%	24
36%	25
37%	26
38%	27
39%	27
40%	28
41%	29
42%	30
43%	31
44%	32
45%	33
46%	33
47%	33
48%	34
49%	34
50%	34
51%	35
52%	35
53%	35
54%	35
55%	36
56%	36
57%	36
58%	37
59%	37
60%	37
61%	38
62%	38
63%	38
64%	39
65%	39
66%	40
67%	40
68%	41
69%	41
70%	42
71%	43
72%	43
73%	44
74%	45
75%	45
76%	46
77%	48
78%	49
79%	51
80%	53
81%	55
82%	58
83%	61
84%	64
85%	67
86%	71
87%	76
88%	81
89%	86
90%	93
91%	101
92%	110
93%	120
94%	133
95%	150
96%	172
97%	202
98%	250
99%	345
100%	5325
